
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar*,C,37,LAL,79,2630,22.9,.628,.001,.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,,7.6,3.6,11.2,.204,,3.6,1.3,4.9,4.6
2,Alvan Adams,PF,30,PHO,82,2136,19.8,.578,.000,.309,8.2,18.1,13.3,21.8,2.5,1.3,15.9,23.6,,3.5,3.3,6.8,.152,,2.3,2.1,4.4,3.5
3,Mark Aguirre,SF,25,DAL,80,2699,21.3,.563,.054,.370,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,,5.3,1.9,7.2,.128,,3.6,-1.9,1.7,2.5
4,Danny Ainge,SG,25,BOS,75,2564,14.2,.570,.071,.172,3.4,7.9,5.8,19.9,2.2,0.1,14.9,15.9,,3.9,2.8,6.6,.124,,1.3,0.4,1.7,2.4
5,Chuck Aleksinas,C,25,GSW,74,1114,9.1,.509,.003,.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,,0.1,0.4,0.4,.019,,-3.9,-2.0,-5.9,-1.1
6,J.J. Anderson,SF,24,UTA,44,457,8.2,.441,.013,.302,6.7,11.7,9.3,6.2,2.9,1.1,15.9,17.5,,-0.6,0.8,0.2,.025,,-4.7,1.5,-3.2,-0.1
7,Ron Anderson,SF,26,CLE,36,520,10.7,.484,.010,.256,8.1,10.2,9.2,9.1,0.8,0.7,13.5,19.4,,0.0,0.3,0.3,.032,,-2.4,-1.0,-3.5,-0.2
8,John Bagley,PG,24,CLE,81,2401,16.0,.524,.038,.241,2.4,10.7,6.6,39.4,2.5,0.1,21.3,16.3,,2.3,2.3,4.6,.092,,0.4,0.1,0.5,1.5
9,James Bailey,PF,27,NYK,74,1297,7.9,.485,.003,.309,10.6,20.4,15.4,4.0,1.1,2.4,20.1,15.8,,-0.8,1.4,0.6,.021,,-4.5,0.4,-4.1,-0.7
10,Thurl Bailey,PF,23,UTA,80,2481,14.7,.533,.001,.226,6.5,15.1,10.9,8.2,0.9,2.3,11.8,20.6,,1.6,3.8,5.4,.104,,-1.2,1.1,0.0,1.2
11,Greg Ballard,SF,30,WSB,82,2664,14.3,.513,.047,.154,6.1,16.2,11.0,10.9,1.8,0.7,9.2,18.0,,2.1,3.9,6.0,.109,,-0.5,1.6,1.1,2.1
12,Gene Banks,SF,25,SAS,82,2091,14.5,.642,.006,.521,7.4,16.4,12.0,14.0,1.4,0.3,18.8,14.3,,3.9,1.8,5.6,.130,,1.3,0.5,1.8,2.0
13,Ken Bannister,PF,24,NYK,75,1404,7.3,.481,.000,.431,8.7,18.9,13.6,3.9,1.3,1.7,21.0,19.7,,-2.2,1.4,-0.8,-0.028,,-5.5,-0.5,-6.0,-1.4
14,Charles Barkley*,PF,21,PHI,82,2347,18.3,.599,.008,.511,12.9,20.8,16.9,9.6,1.9,2.0,17.9,20.0,,4.2,3.3,7.5,.154,,1.9,1.5,3.4,3.2
15,Kent Benson,C,30,DET,72,1401,12.6,.545,.008,.237,7.4,17.2,12.1,8.0,1.7,1.7,13.4,13.9,,1.5,1.9,3.3,.113,,-1.0,1.8,0.8,1.0
16,Larry Bird*,SF,28,BOS,80,3161,26.5,.585,.074,.260,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,,10.5,5.2,15.7,.238,,6.1,2.4,8.5,8.4
17,Otis Birdsong,SG,29,NJN,56,1842,18.1,.534,.022,.268,3.5,5.5,4.5,19.3,2.2,0.2,9.8,26.3,,2.8,1.4,4.2,.109,,2.1,-1.8,0.3,1.1
18,Rolando Blackman,SG,25,DAL,81,2834,17.7,.566,.016,.336,4.2,7.9,6.0,15.1,1.0,0.3,10.3,23.2,,5.8,1.4,7.3,.123,,2.2,-1.6,0.6,1.9
19,Cory Blackwell,SF,21,SEA,60,551,6.4,.387,.008,.232,8.8,11.4,10.1,7.0,2.2,0.3,14.4,23.2,,-1.5,0.5,-0.9,-0.081,,-6.8,-1.6,-8.4,-0.9
20,Sam Bowie,C,23,POR,76,2216,15.7,.578,.000,.404,10.5,22.6,16.6,12.2,1.2,5.0,20.8,14.8,,2.2,3.5,5.7,.123,,-0.3,3.8,3.6,3.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Dudley Bradley,SG,27,WSB,73,1232,12.2,.536,.214,.264,3.0,9.2,6.0,18.1,3.7,1.0,20.1,14.1,,0.3,2.1,2.4,.093,,-1.6,2.4,0.8,0.9
22,Mike Bratz,PG,29,GSW,56,746,12.8,.502,.104,.328,1.5,7.7,4.4,22.1,2.9,0.3,15.9,17.9,,0.4,0.4,0.8,.050,,-1.7,-1.8,-3.4,-0.3
23,Randy Breuer,C,24,MIL,78,1083,13.4,.554,.000,.401,9.5,16.7,13.1,4.9,0.9,4.5,14.5,16.4,,1.1,1.9,3.0,.133,,-2.1,1.7,-0.4,0.4
